name,type,capacity_mw,operator,state,osm_id,lng,lat
Unnamed Solar Plant,solar,0,Unknown,Gujarat,way/1217148618,71.6432608,23.9258277
Unnamed Solar Plant,solar,0,Unknown,Gujarat,way/1217148619,71.6387776,23.9180901
Unnamed Solar Plant,solar,0,Unknown,Maharashtra,way/1217191683,78.1999732,21.5209562
Unnamed Unknown Plant,unknown,0,Unknown,Karnataka,way/1218347786,74.8209351,16.6511258
Unnamed Solar Plant,solar,0,Unknown,Gujarat,way/1218604481,72.8538353,21.8346452
Unnamed Solar Plant,solar,0,Unknown,Gujarat,way/1218604482,72.8435572,21.8378595
Unnamed Solar Plant,solar,0,Unknown,Gujarat,way/1218606403,71.7634061,23.8930331
Unnamed Solar Plant,solar,0,Unknown,Karnataka,way/1218613511,75.2021994,16.4760073
Unnamed Solar Plant,solar,0,Unknown,Karnataka,way/1218614561,75.8375987,16.05682
Unnamed Solar Plant,solar,0,Unknown,Karnataka,way/1218791090,76.8870288,15.8867994
Unnamed Solar Plant,solar,0,Unknown,Karnataka,way/1218816327,77.1075533,12.8647086
Unnamed Gas Plant,gas,20.0,Unknown,Kerala,way/1218909830,76.3864507,9.972151
