COMPLETE LIST OF POWER PLANTS IN INDIA (3801 Total)
================================================================================


--- ANDAMAN AND NICOBAR ---
94. Chinthapally mandal Solar Plant | Type: solar | Capacity: 0 MW
95. Chirala Unknown Plant | Type: unknown | Capacity: 0 MW
96. Chittoor Solar Plant | Type: solar | Capacity: 0 MW
97. Chityal mandal Solar Plant | Type: solar | Capacity: 0 MW
98. Choutkur mandal Solar Plant | Type: solar | Capacity: 0 MW
99. Chunchupally mandal Solar Plant | Type: solar | Capacity: 0 MW
100. Chunchupally mandal Solar Plant | Type: solar | Capacity: 0 MW
101. Chunchupally mandal Solar Plant | Type: solar | Capacity: 0 MW
102. Chunchupally mandal Solar Plant | Type: solar | Capacity: 0 MW
103. D Hirehal Solar Plant | Type: solar | Capacity: 0 MW
104. Damaracherla mandal Coal Plant | Type: coal | Capacity: 0 MW
105. Damargidda mandal Solar Plant | Type: solar | Capacity: 0 MW
106. Dattirajeru Solar Plant | Type: solar | Capacity: 0 MW
107. Dattirajeru Solar Plant | Type: solar | Capacity: 0 MW
108. Devarkadra mandal Solar Plant | Type: solar | Capacity: 0 MW
109. Devarkadra mandal Solar Plant | Type: solar | Capacity: 0 MW
110. Dhanwada mandal Solar Plant | Type: solar | Capacity: 0 MW
111. Dharmavaram Solar Plant | Type: solar | Capacity: 0 MW
112. Dharoor mandal Solar Plant | Type: solar | Capacity: 0 MW
113. Dhone Solar Plant | Type: solar | Capacity: 0 MW
114. Dilawarpur mandal Solar Plant | Type: solar | Capacity: 0 MW
115. Dilawarpur mandal Solar Plant | Type: solar | Capacity: 0 MW
116. Dondlapalle | Type: solar | Capacity: 25.0 MW
117. Donkarayi Power House | Type: hydro | Capacity: 25.0 MW
118. Dr Narla Tata Rao Thermal Power Station | Type: coal | Capacity: 1760.0 MW
119. Dubbak mandal Solar Plant | Type: solar | Capacity: 0 MW
120. Dummugudem mandal Hydro Plant | Type: hydro | Capacity: 24.0 MW
121. Dundigal mandal Unknown Plant | Type: unknown | Capacity: 0 MW
122. East Coast Energies PVT LTD | Type: coal | Capacity: 0 MW
123. Edlapadu Solar Plant | Type: solar | Capacity: 0 MW
124. Edlapadu Solar Plant | Type: solar | Capacity: 0 MW
125. Farooqnagar mandal Solar Plant | Type: solar | Capacity: 0 MW
126. Floating Solar Plant | Type: solar | Capacity: 0 MW
127. Gadivemula Solar Plant | Type: solar | Capacity: 0 MW
128. Gadwal mandal Solar Plant | Type: solar | Capacity: 0 MW
129. Gajuwaka Solar Plant | Type: solar | Capacity: 0 MW
130. Galiveedu Solar Park | Type: solar | Capacity: 400.0 MW
131. Galiveedu Solar Plant | Type: solar | Capacity: 0 MW
132. Galiveedu Solar Plant | Type: solar | Capacity: 0 MW
133. Gannavaram Solar Plant | Type: solar | Capacity: 0 MW
134. Garugubilli Hydro Plant | Type: hydro | Capacity: 0 MW
135. Gautami Combined Cycle Power Plant | Type: gas | Capacity: 0 MW
136. Ghanapur | Type: solar | Capacity: 15.0 MW
137. Ghanpur | Type: solar | Capacity: 15.0 MW
138. Ghattu | Type: solar | Capacity: 39.0 MW
139. Gollagudem | Type: solar | Capacity: 5.0 MW
140. Gollapalli mandal Solar Plant | Type: solar | Capacity: 0 MW
141. Gooty Solar Plant | Type: solar | Capacity: 0 MW
142. Gooty Solar Plant | Type: solar | Capacity: 0 MW
143. Gowriganipalli | Type: solar | Capacity: 15.0 MW
144. Gowriganipalli | Type: solar | Capacity: 0 MW
145. Gundala mandal Solar Plant | Type: solar | Capacity: 0 MW
146. Gundlapally mandal Solar Plant | Type: solar | Capacity: 0 MW
147. Guntur Solar Plant | Type: solar | Capacity: 0 MW
148. Gurla Solar Plant | Type: solar | Capacity: 0 MW
149. Gurramkonda Solar Plant | Type: solar | Capacity: 0 MW
150. Gurrampode mandal Solar Plant | Type: solar | Capacity: 0 MW
151. Gurrampode mandal Solar Plant | Type: solar | Capacity: 0 MW
152. Gurrampode mandal Solar Plant | Type: solar | Capacity: 0 MW
153. Hathnoora mandal Solar Plant | Type: solar | Capacity: 0 MW
154. Havelighanpur mandal Solar Plant | Type: solar | Capacity: 0 MW
155. Honeywell Experimental Solar Farm | Type: solar | Capacity: 0 MW
156. Ibrahimpatnam mandal Solar Plant | Type: solar | Capacity: 0 MW
157. Illanthakunta mandal Solar Plant | Type: solar | Capacity: 0 MW
158. Illanthakunta mandal Solar Plant | Type: solar | Capacity: 0 MW
159. Ipuru Solar Plant | Type: solar | Capacity: 0 MW
160. JRD 360 SolarCity | Type: solar | Capacity: 0 MW
161. Jadcherla mandal Solar Plant | Type: solar | Capacity: 0 MW
162. Jadcherla mandal Solar Plant | Type: solar | Capacity: 0 MW
163. Jaggampeta Solar Plant | Type: solar | Capacity: 0 MW
